Crime,Address,Date,Time
Aggravated assault,200 block Putnam St,2/3/2016,4:30 p.m.
Aggravated assault,200 block Warner Av,2/2/2016,11:15 a.m.
Aggravated assault,1000 block Cannon St,2/2/2016,1:07 p.m.
Aggravated assault,100 block Munson Dr,2/2/2016,6:42 p.m.
Aggravated assault,200 block Merrill St,2/1/2016,1:00 p.m.-7:09 p.m.
Aggravated assault,200 block Lafayette Rd,1/31/2016,6:00 p.m.
Aggravated assault,500 block Oak St,1/30/2016,4:12 p.m.
Aggravated assault,700 block Erie Blvd W,1/29/2016,3:06 p.m.
Aggravated assault,400 block Wolf St,1/29/2016,8:15 p.m.
Aggravated assault,100 block Sixth North St,1/26/2016,1:30 a.m.-1:41 a.m.
Aggravated assault,100 block Davis St,1/26/2016,3:40 p.m.
Aggravated assault,300 block Stafford Av,1/25/2016,12:25 a.m.
Aggravated assault,2500 block S State St,1/25/2016,2:00 p.m.
Aggravated assault,200 block Thayer St,1/25/2016,10:45 p.m.
Aggravated assault,3100 block E Genesee St,1/25/2016,5:55 p.m.-5:56 p.m.
Aggravated assault,300 block N Clinton St,1/23/2016,12:51 a.m.
Aggravated assault,300 block N Clinton St,1/22/2016,1:30 a.m.
Aggravated assault,600 block E Division St,1/22/2016,5:38 p.m.
Aggravated assault,300 block Ballantyne Rd,1/22/2016,10:40 p.m.
Aggravated assault,700 block Court St,1/21/2016,2:15 p.m.
Aggravated assault,1200 block Park St,1/21/2016,10:53 p.m.
Aggravated assault,1400 block Midland Av,1/20/2016,12:20 a.m.-12:32 a.m.
Aggravated assault,300 block Garfield Av,1/19/2016,6:17 p.m.
Aggravated assault,700 block Ash St,1/18/2016,2:30 a.m.-2:37 a.m.
Aggravated assault,500 block Bellevue Av,1/18/2016,8:25 a.m.-8:54 a.m.
Aggravated assault,100 block E Beard Av,1/18/2016,2:00 p.m.-2:06 p.m.
Aggravated assault,100 block Murray Av,1/17/2016,11:00 p.m.-1:02 a.m.
Aggravated assault,300 block W Fayette St,1/17/2016,2:00 a.m.
Aggravated assault,600 block Park St,1/17/2016,3:00 a.m.
Aggravated assault,700 block Ash St,1/17/2016,8:30 a.m.-10:43 a.m.
Aggravated assault,1700 block W Onondaga St,1/17/2016,10:37 p.m.
Aggravated assault,100 block Josephine St,1/16/2016,8:15 a.m.
Aggravated assault,100 block Davis St,1/15/2016,1:22 a.m.
Aggravated assault,600 block Second North St,1/14/2016,2:15 a.m.-3:17 a.m.
Aggravated assault,400 block Cortland Av,1/14/2016,4:07 p.m.
Aggravated assault,600 block Catherine St,1/13/2016,5:40 p.m.
Aggravated assault,1100 block Wolf St,1/12/2016,4:19 p.m.
Aggravated assault,100 block Walton St,1/10/2016,10:54 a.m.
Aggravated assault,200 block Hudson St,1/10/2016,12:55 p.m.
Aggravated assault,100 block W Ostrander Av,1/10/2016,4:00 a.m.
Aggravated assault,100 block W Onondaga St,1/9/2016,6:55 p.m.
Aggravated assault,600 block Helen St,1/9/2016,7:53 p.m.
Aggravated assault,200 block Lilac St,1/9/2016,11:16 p.m.
Aggravated assault,500 block State Fair Blvd,1/8/2016,2:40 a.m.
Aggravated assault,2000 block Valley Dr,1/8/2016,2:50 a.m.
Aggravated assault,1000 block Park Av,1/8/2016,9:30 p.m.
Aggravated assault,300 block Cadwell St,1/7/2016,12:15 p.m.
Aggravated assault,600 block W Onondaga St,1/7/2016,10:48 p.m.
Aggravated assault,100 block Mayar St,1/5/2016,3:50 p.m.
Aggravated assault,1800 block Lodi St,1/5/2016,7:00 p.m.
Aggravated assault,600 block W Newell St,1/4/2016,8:56 a.m.
